"",Set,Count
413,"(39, 40)",66
2449,"(43, 8)",65
6914,"(44, 46)",65
8335,"(25, 35)",65
1943,"(15, 7)",65
4904,"(14, 20)",65
5341,"(12, 47)",65
1592,"(12, 33)",65
3689,"(28, 48)",65
2448,"(43, 45)",65
9198,"(32, 48)",65
2698,"(33, 39)",65
679,"(12, 46)",65
845,"(16, 25)",65
5115,"(18, 41)",65
4,"(15, 8)",65
10157,"(31, 48)",65
790,"(10, 40)",65
4323,"(3, 9)",65
12255,"(18, 37)",65
1381,"(13, 30)",65
122,"(17, 47)",65
9513,"(27, 47)",64
1590,"(12, 31)",64
